uid,premise,hypothesis,label,metadata
1585-neg,"In 1945, after more than 900 missions, he crashed near Munich and nearly burned to death. He underwent more than 70 operations to repair his face. In 1955, he rejoined the German Air Force and later became chief of staff of the Allied Air Forces in Central Europe.",He joined the German Air Force before 1955.,E,"{'context1': 'In 1945, after more than 900 missions, he crashed near Munich and nearly burned to death.', 'context2': 'He underwent more than 70 operations to repair his face.', 'target_sentence': 'In 1955, he rejoined the German Air Force and later became chief of staff of the Allied Air Forces in Central Europe.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rejoined'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'C', 'E'], 'ratings': [100.0, 100.0, 99.51, 0.0, 99.91]}"
1585,"In 1945, after more than 900 missions, he crashed near Munich and nearly burned to death. He underwent more than 70 operations to repair his face. In 1955, he rejoined the German Air Force and later became chief of staff of the Allied Air Forces in Central Europe.",He joined the German Air Force before 1955.,E,"{'context1': 'In 1945, after more than 900 missions, he crashed near Munich and nearly burned to death.', 'context2': 'He underwent more than 70 operations to repair his face.', 'target_sentence': 'In 1955, he rejoined the German Air Force and later became chief of staff of the Allied Air Forces in Central Europe.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rejoined'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 98.54, 100.0]}"
1586-neg," After that, Horn set out on his own and worked as an independent producer. About 1983, Horn said, he did not rejoin Motown for the job security and benefits he thought he needed for his family.",Horn had joined Motown at some point before 1983.,N,"{'context1': '', 'context2': 'After that, Horn set out on his own and worked as an independent producer.', 'target_sentence': 'About 1983, Horn said, he did not rejoin Motown for the job security and benefits he thought he needed for his family.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rejoined'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'N', 'E', 'E', 'N'], 'ratings': [64.61, 55.69, 100.0, 92.95, 86.87]}"
1586," After that, Horn set out on his own and worked as an independent producer. About 1983, Horn said, he rejoined Motown for the job security and benefits he thought he needed for his family.",Horn had joined Motown at some point before 1983.,E,"{'context1': '', 'context2': 'After that, Horn set out on his own and worked as an independent producer.', 'target_sentence': 'About 1983, Horn said, he rejoined Motown for the job security and benefits he thought he needed for his family.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rejoined'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [99.4, 16.25, 100.0, 100.0, 100.0]}"
1587-neg,"It all started in the city of Fallujah, 40 miles west of Baghdad, in November of 2004. For weeks, Marines pounded the city in one of the most violent encounters with insurgents in the war. U.S. troops did not eventually regain control of the city--then, two days before Christmas, a day Workman will never forget.",Control of the city had been gained previously.,E,"{'context1': 'It all started in the city of Fallujah, 40 miles west of Baghdad, in November of 2004.', 'context2': 'For weeks, Marines pounded the city in one of the most violent encounters with insurgents in the war.', 'target_sentence': 'U.S. troops did not eventually regain control of the city--then, two days before Christmas, a day Workman will never forget.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 98.41, 98.54]}"
1587,"It all started in the city of Fallujah, 40 miles west of Baghdad, in November of 2004. For weeks, Marines pounded the city in one of the most violent encounters with insurgents in the war. U.S. troops eventually regained control of the city--then, two days before Christmas, a day Workman will never forget.",Control of the city had been gained previously.,E,"{'context1': 'It all started in the city of Fallujah, 40 miles west of Baghdad, in November of 2004.', 'context2': 'For weeks, Marines pounded the city in one of the most violent encounters with insurgents in the war.', 'target_sentence': 'U.S. troops eventually regained control of the city--then, two days before Christmas, a day Workman will never forget.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [96.93, 98.69, 100.0, 100.0, 92.87]}"
1588-neg,"  The AHA has not regained some respectability by tearing down crime-ridden, substandard projects and replacing them with housing complexes for the poor and middle class.",The AHA had gained respectability before.,N,"{'context1': '', 'context2': '', 'target_sentence': 'The AHA has not regained some respectability by tearing down crime-ridden, substandard projects and replacing them with housing complexes for the poor and middle class.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'N', 'N', 'N', 'N'], 'ratings': [10.11, 9.33, 73.27, 75.98, 81.18]}"
1588,"  The AHA has regained some respectability by tearing down crime-ridden, substandard projects and replacing them with housing complexes for the poor and middle class.",The AHA had gained respectability before.,E,"{'context1': '', 'context2': '', 'target_sentence': 'The AHA has regained some respectability by tearing down crime-ridden, substandard projects and replacing them with housing complexes for the poor and middle class.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'N'], 'ratings': [90.24, 99.51, 100.0, 97.04, 24.4]}"
1589-neg,"For all of them, time is fading fast. In Mosul, Dominic DiNatale, Fox News. The Holocaust Museum has not reopened after a day of mourning for the security guard killed by white supremacist James Von Brunn.",The Holocaust Museum was open before the killing.,E,"{'context1': 'For all of them, time is fading fast.', 'context2': 'In Mosul, Dominic DiNatale, Fox News.', 'target_sentence': 'The Holocaust Museum has not reopened after a day of mourning for the security guard killed by white supremacist James Von Brunn.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reopened'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 99.54, 100.0]}"
1589,"For all of them, time is fading fast. In Mosul, Dominic DiNatale, Fox News. The Holocaust Museum has reopened after a day of mourning for the security guard killed by white supremacist James Von Brunn.",The Holocaust Museum was open before the killing.,E,"{'context1': 'For all of them, time is fading fast.', 'context2': 'In Mosul, Dominic DiNatale, Fox News.', 'target_sentence': 'The Holocaust Museum has reopened after a day of mourning for the security guard killed by white supremacist James Von Brunn.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reopened'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.19, 99.25, 90.5, 100.0, 100.0]}"
1590-neg,"Placing Philip's glass in the freezer to chill, she poured herself some vintage cabernet sauvignon. She picked up the New York Times and arranged herself on the couch in front of the bay window to await his arrival. // Viviana did not reread the front-page article about Philip's takeover bid for Consolidated and felt a glow of pride.",Viviana had read the front-page article about Philip's takeover bid already.,E,"{'context1': ""Placing Philip's glass in the freezer to chill, she poured herself some vintage cabernet sauvignon."", 'context2': 'She picked up the New York Times and arranged herself on the couch in front of the bay window to await his arrival. //', 'target_sentence': ""Viviana did not reread the front-page article about Philip's takeover bid for Consolidated and felt a glow of pride."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reread'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.22, 95.27, 100.0, 100.0, 100.0]}"
1590,"Placing Philip's glass in the freezer to chill, she poured herself some vintage cabernet sauvignon. She picked up the New York Times and arranged herself on the couch in front of the bay window to await his arrival. // Viviana reread the front-page article about Philip's takeover bid for Consolidated and felt a glow of pride.",Viviana had read the front-page article about Philip's takeover bid already.,E,"{'context1': ""Placing Philip's glass in the freezer to chill, she poured herself some vintage cabernet sauvignon."", 'context2': 'She picked up the New York Times and arranged herself on the couch in front of the bay window to await his arrival. //', 'target_sentence': ""Viviana reread the front-page article about Philip's takeover bid for Consolidated and felt a glow of pride."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reread'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['C', 'E', 'E', 'E', 'E'], 'ratings': [1.9300000000000002, 100.0, 100.0, 99.06, 99.46]}"
1593-neg," Stranded riders who had to exit at stations that had no functioning Farecard machines or escalators--Dupont Circle, Shaw-Howard, Farragut North, Farragut West and McPherson Square--were not charged for those rides, Metro spokeswoman Cathy Asato said. The Farecard machines were not reprogrammed and operating smoothly for the afternoon commute. //",The Farecard machines were programmed previously.,E,"{'context1': '', 'context2': 'Stranded riders who had to exit at stations that had no functioning Farecard machines or escalators--Dupont Circle, Shaw-Howard, Farragut North, Farragut West and McPherson Square--were not charged for those rides, Metro spokeswoman Cathy Asato said.', 'target_sentence': 'The Farecard machines were not reprogrammed and operating smoothly for the afternoon commute. //', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reprogrammed'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [93.84, 95.14, 72.08, 100.0, 100.0]}"
1593," Stranded riders who had to exit at stations that had no functioning Farecard machines or escalators--Dupont Circle, Shaw-Howard, Farragut North, Farragut West and McPherson Square--were not charged for those rides, Metro spokeswoman Cathy Asato said. The Farecard machines were reprogrammed and operating smoothly for the afternoon commute. //",The Farecard machines were programmed previously.,E,"{'context1': '', 'context2': 'Stranded riders who had to exit at stations that had no functioning Farecard machines or escalators--Dupont Circle, Shaw-Howard, Farragut North, Farragut West and McPherson Square--were not charged for those rides, Metro spokeswoman Cathy Asato said.', 'target_sentence': 'The Farecard machines were reprogrammed and operating smoothly for the afternoon commute. //', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reprogrammed'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 100.0]}"
1594-neg," Under Secretary Kizer appears to be pushing the department in that direction. An outsider appointed a little over a year ago after a career in health-system management, he is not reorganizing the hospitals, linking them into regional groups, eliminating duplication and trying to force a faster shift to outpatient care.",The hospitals were organized previously.,E,"{'context1': '', 'context2': 'Under Secretary Kizer appears to be pushing the department in that direction.', 'target_sentence': 'An outsider appointed a little over a year ago after a career in health-system management, he is not reorganizing the hospitals, linking them into regional groups, eliminating duplication and trying to force a faster shift to outpatient care.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reorganizing'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'N', 'E', 'E'], 'ratings': [100.0, 20.11, 82.54, 90.5, 100.0]}"
1594," Under Secretary Kizer appears to be pushing the department in that direction. An outsider appointed a little over a year ago after a career in health-system management, he is reorganizing the hospitals, linking them into regional groups, eliminating duplication and trying to force a faster shift to outpatient care.",The hospitals were organized previously.,E,"{'context1': '', 'context2': 'Under Secretary Kizer appears to be pushing the department in that direction.', 'target_sentence': 'An outsider appointed a little over a year ago after a career in health-system management, he is reorganizing the hospitals, linking them into regional groups, eliminating duplication and trying to force a faster shift to outpatient care.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reorganizing'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'N', 'E', 'E'], 'ratings': [99.06, 99.54, 89.8, 100.0, 100.0]}"
1595-neg,"the well know, Arianna Huffington. I am going to spend some moments with Arianna. Then our panel will not reassemble and Wolf Blitzer who will anchor the CNN's coverage tonight will join us.",Our panel will have assembled before.,N,"{'context1': 'the well know, Arianna Huffington.', 'context2': 'I am going to spend some moments with Arianna.', 'target_sentence': ""Then our panel will not reassemble and Wolf Blitzer who will anchor the CNN's coverage tonight will join us."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reassemble'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'E', 'N', 'E', 'N'], 'ratings': [62.16, 100.0, 80.83, 89.44, 48.35]}"
1595,"the well know, Arianna Huffington. I am going to spend some moments with Arianna. Then our panel will reassemble and Wolf Blitzer who will anchor the CNN's coverage tonight will join us.",Our panel will have assembled before.,E,"{'context1': 'the well know, Arianna Huffington.', 'context2': 'I am going to spend some moments with Arianna.', 'target_sentence': ""Then our panel will reassemble and Wolf Blitzer who will anchor the CNN's coverage tonight will join us."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reassemble'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [99.31, 100.0, 89.62, 100.0, 100.0]}"
1597-neg," Gladstein was sent home and his condition deteriorated. He was not readmitted to John Muir's acute rehabilitation unit in late December, where a neurosurgeon once again recommended admission to a transitional living center.",He was admitted to John Muir's acute rehabilitation unit at some point before December.,E,"{'context1': '', 'context2': 'Gladstein was sent home and his condition deteriorated.', 'target_sentence': ""He was not readmitted to John Muir's acute rehabilitation unit in late December, where a neurosurgeon once again recommended admission to a transitional living center."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'readmitted'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'N', 'N', 'E'], 'ratings': [91.93, 100.0, 74.31, 5.95, 99.71]}"
1597," Gladstein was sent home and his condition deteriorated. He was readmitted to John Muir's acute rehabilitation unit in late December, where a neurosurgeon once again recommended admission to a transitional living center.",He was admitted to John Muir's acute rehabilitation unit at some point before December.,E,"{'context1': '', 'context2': 'Gladstein was sent home and his condition deteriorated.', 'target_sentence': ""He was readmitted to John Muir's acute rehabilitation unit in late December, where a neurosurgeon once again recommended admission to a transitional living center."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'readmitted'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'E', 'E', 'N', 'E'], 'ratings': [46.85, 99.62, 100.0, 14.55, 100.0]}"
1602-neg,"This year, for the first time, rodeo guests don't pay $2 or $3 directly to carnival workers at each booth to play a game. Instead you buy a Fun Pass card, any amount you want, and play until the scanner blinks broke. Then you cannot reload the card and continue trying to knock over milk bottles.",The card will have been loaded previously.,E,"{'context1': ""This year, for the first time, rodeo guests don't pay $2 or $3 directly to carnival workers at each booth to play a game."", 'context2': 'Instead you buy a Fun Pass card, any amount you want, and play until the scanner blinks broke.', 'target_sentence': 'Then you cannot reload the card and continue trying to knock over milk bottles.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reload'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'C'], 'ratings': [100.0, 99.46, 100.0, 99.85, 0.09]}"
1602,"This year, for the first time, rodeo guests don't pay $2 or $3 directly to carnival workers at each booth to play a game. Instead you buy a Fun Pass card, any amount you want, and play until the scanner blinks broke. Then you can reload the card and continue trying to knock over milk bottles.",The card will have been loaded previously.,N,"{'context1': ""This year, for the first time, rodeo guests don't pay $2 or $3 directly to carnival workers at each booth to play a game."", 'context2': 'Instead you buy a Fun Pass card, any amount you want, and play until the scanner blinks broke.', 'target_sentence': 'Then you can reload the card and continue trying to knock over milk bottles.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reload'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'N', 'N', 'N'], 'ratings': [92.25, 86.07, 49.1, 51.2, 76.73]}"
1603-neg,"Circle reader service number 161.  Forty years after it presented the special 356 model, Porsche has not reintroduced the third-generation Porsche 911 Speedster.",Porsche has previously introduced the Porsche 911 Speedster.,E,"{'context1': 'Circle reader service number 161.', 'context2': '', 'target_sentence': 'Forty years after it presented the special 356 model, Porsche has not reintroduced the third-generation Porsche 911 Speedster.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reintroduced'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 99.19, 100.0, 90.15]}"
1603,"Circle reader service number 161.  Forty years after it presented the special 356 model, Porsche has reintroduced the third-generation Porsche 911 Speedster.",Porsche has previously introduced the Porsche 911 Speedster.,E,"{'context1': 'Circle reader service number 161.', 'context2': '', 'target_sentence': 'Forty years after it presented the special 356 model, Porsche has reintroduced the third-generation Porsche 911 Speedster.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reintroduced'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 100.0]}"
1604-neg,"  Meanwhile, the promenade did not regain a semblance of normality.",The promenade previously gained a semblance of normality.,N,"{'context1': '', 'context2': '', 'target_sentence': 'Meanwhile, the promenade did not regain a semblance of normality.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'E', 'E', 'N', 'N'], 'ratings': [65.04, 100.0, 100.0, 79.66, 30.63]}"
1604,"  Meanwhile, the promenade regained a semblance of normality.",The promenade previously gained a semblance of normality.,E,"{'context1': '', 'context2': '', 'target_sentence': 'Meanwhile, the promenade regained a semblance of normality.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'regained'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 98.37, 100.0, 100.0, 100.0]}"
1605-neg,"The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War. Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment. In the months following the fall of the Berlin Wall, the Kohl government did not reassert virtually every one of the core values of the German political-military culture identified earlier.",The Kohl government asserted virtually every one of the core values of the German political-military culture before the fall of the Berlin Wall.,C,"{'context1': 'The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War.', 'context2': 'Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment.', 'target_sentence': 'In the months following the fall of the Berlin Wall, the Kohl government did not reassert virtually every one of the core values of the German political-military culture identified earlier.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reasserted'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['C', 'N', 'C', 'C', 'C'], 'ratings': [0.0, 95.53, 0.54, 0.0, 0.0]}"
1605,"The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War. Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment. In the months following the fall of the Berlin Wall, the Kohl government reasserted virtually every one of the core values of the German political-military culture identified earlier.",The Kohl government asserted virtually every one of the core values of the German political-military culture before the fall of the Berlin Wall.,E,"{'context1': 'The residual threat of reactionary takeover in the Russian Republic remained, but even in the worst-case scenario Russian forces would be both weaker and further removed from German borders than at any time during the Cold War.', 'context2': 'Despite these auspicious developments, the German government of Chancellor Kohl reacted almost with a sense of panic to the new international environment.', 'target_sentence': 'In the months following the fall of the Berlin Wall, the Kohl government reasserted virtually every one of the core values of the German political-military culture identified earlier.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reasserted'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'N', 'E', 'C'], 'ratings': [100.0, 98.11, 35.68, 100.0, 0.0]}"
1606-neg," "" In 1868, ""Doug went on,"" the church was not rebuilt a few miles away as Christ Episcopal.",The church was built before 1868.,E,"{'context1': '', 'context2': '""', 'target_sentence': 'In 1868, ""Doug went on,"" the church was not rebuilt a few miles away as Christ Episcopal.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rebuilt'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['N', 'E', 'E', 'E', 'N'], 'ratings': [50.6, 100.0, 100.0, 100.0, 22.9]}"
1606," "" In 1868, ""Doug went on,"" the church was rebuilt a few miles away as Christ Episcopal.",The church was built before 1868.,E,"{'context1': '', 'context2': '""', 'target_sentence': 'In 1868, ""Doug went on,"" the church was rebuilt a few miles away as Christ Episcopal.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'rebuilt'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'C', 'E'], 'ratings': [100.0, 100.0, 100.0, 0.0, 100.0]}"
1608-neg,"At Gaines' compound, Jack lays a beating on Carroll. Meanwhile, the team is busy packing up the operation (Drazen says it's time for the "" contingency plan ""), so Teri and Kim prepare to run for it. Jack does not reunite with them, and Rick commandeers a van for their getaway.",Jack was united with them before.,E,"{'context1': ""At Gaines' compound, Jack lays a beating on Carroll."", 'context2': 'Meanwhile, the team is busy packing up the operation (Drazen says it\'s time for the "" contingency plan ""), so Teri and Kim prepare to run for it.', 'target_sentence': 'Jack does not reunite with them, and Rick commandeers a van for their getaway.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reunites'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'N', 'E', 'E'], 'ratings': [97.14, 78.94, 51.2, 98.73, 100.0]}"
1608,"At Gaines' compound, Jack lays a beating on Carroll. Meanwhile, the team is busy packing up the operation (Drazen says it's time for the "" contingency plan ""), so Teri and Kim prepare to run for it. Jack reunites with them, and Rick commandeers a van for their getaway.",Jack was united with them before.,E,"{'context1': ""At Gaines' compound, Jack lays a beating on Carroll."", 'context2': 'Meanwhile, the team is busy packing up the operation (Drazen says it\'s time for the "" contingency plan ""), so Teri and Kim prepare to run for it.', 'target_sentence': 'Jack reunites with them, and Rick commandeers a van for their getaway.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'predicate': 'reunites'}"", 'trigger_type': 're_verbs', 'annotator': 'OA', 'nli_labels': ['E', 'N', 'E', 'E', 'E'], 'ratings': [100.0, 25.3, 96.14, 97.5, 100.0]}"
1610-neg, It was shortly after Todd died that Rochelle demanded that I tell her the entire truth about Squeeze. She did not figure out it was revenge for what I had done to Squeeze after putting two and two together.,She put two and two together.,E,"{'context1': '', 'context2': 'It was shortly after Todd died that Rochelle demanded that I tell her the entire truth about Squeeze.', 'target_sentence': 'She did not figure out it was revenge for what I had done to Squeeze after putting two and two together.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'preposition': 'After', 'embedded_clause_head_tag': ['VBG']}"", 'trigger_type': 'temporal_adverbs', 'annotator': 'OA', 'nli_labels': ['E', 'C', 'E', 'E', 'E'], 'ratings': [99.62, 0.5700000000000001, 98.37, 96.02, 100.0]}"
1610, It was shortly after Todd died that Rochelle demanded that I tell her the entire truth about Squeeze. She figured out it was revenge for what I had done to Squeeze after putting two and two together.,She put two and two together.,E,"{'context1': '', 'context2': 'It was shortly after Todd died that Rochelle demanded that I tell her the entire truth about Squeeze.', 'target_sentence': 'She figured out it was revenge for what I had done to Squeeze after putting two and two together.', 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'original', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'preposition': 'After', 'embedded_clause_head_tag': ['VBG']}"", 'trigger_type': 'temporal_adverbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [100.0, 100.0, 100.0, 100.0, 100.0]}"
1612-neg," After leaving the San Gregorio Valley, Espejo descended the Rio Conchos to the Rio Grande. Espejo descended Zuni River to the Little Colorado, and didn't continue downstream to the terminus of habitation before turning back to Aguato Pueblo and striking out cross-country toward the quarries.",Espejo turned back to Aguato Pueblo and struck out cross-country toward the quarries.,E,"{'context1': '', 'context2': 'After leaving the San Gregorio Valley, Espejo descended the Rio Conchos to the Rio Grande.', 'target_sentence': ""Espejo descended Zuni River to the Little Colorado, and didn't continue downstream to the terminus of habitation before turning back to Aguato Pueblo and striking out cross-country toward the quarries."", 'speaker_context1': '', 'speaker_context2': '', 'speaker_target': '', 'type': 'negated', 'adversarial': False, 'original_negated': False, 'trigger_data': ""{'preposition': 'before', 'embedded_clause_head_tag': ['VBG']}"", 'trigger_type': 'temporal_adverbs', 'annotator': 'OA', 'nli_labels': ['E', 'E', 'E', 'E', 'E'], 'ratings': [96.71, 100.0, 99.28, 100.0, 97.84]}"
